Time,yPosition,yVelocity,yAcceleration
15006.359,-1287.1897,-0.12645914,-2.1218504E-11
15038.8955,-1291.3041,-0.12645914,-2.1264586E-11
15071.444,-1295.4202,-0.12645914,-2.1310691E-11
15103.928,-1299.528,-0.12645914,-2.1356814E-11
15136.463,-1303.6423,-0.12645914,-2.1402843E-11
15169.015,-1307.7589,-0.12645914,-2.1448947E-11
15201.574,-1311.8765,-0.12645914,-2.1495075E-11
15234.156,-1315.9968,-0.12645914,-2.1541212E-11
15266.719,-1320.1146,-0.12645914,-2.1587383E-11
15299.249,-1324.2284,-0.12645914,-2.1633525E-11
15331.792,-1328.3438,-0.12645914,-2.1679622E-11
15364.425,-1332.4705,-0.12645914,-2.1725736E-11
15397.026,-1336.5933,-0.12645914,-2.1771978E-11
15429.643,-1340.7179,-0.12645914,-2.1818176E-11
15462.229,-1344.8387,-0.12645914,-2.1864394E-11
15494.784,-1348.9557,-0.12645914,-2.1910569E-11
15527.325,-1353.0708,-0.12645914,-2.1956702E-11
15559.768,-1357.1735,-0.12645914,-2.2002815E-11
15592.191,-1361.2738,-0.12645914,-2.2048786E-11
15624.644,-1365.3777,-0.12645914,-2.2094732E-11
15657.074,-1369.4789,-0.12645914,-2.2140718E-11
15689.496,-1373.579,-0.12645914,-2.2186673E-11
15721.851,-1377.6705,-0.12645914,-2.2232617E-11
15754.222,-1381.7642,-0.12645914,-2.2278464E-11
15786.565,-1385.8544,-0.12645914,-2.2324335E-11
15818.889,-1389.942,-0.12645914,-2.2370166E-11
15851.196,-1394.0277,-0.12645914,-2.241597E-11
15883.442,-1398.1056,-0.12645914,-2.2461751E-11
15915.746,-1402.1907,-0.12645914,-2.2507446E-11
15947.984,-1406.2675,-0.12645914,-2.2553221E-11
15980.245,-1410.3472,-0.12645914,-2.2598904E-11
16012.529,-1414.4298,-0.12645914,-2.2644619E-11
16044.81,-1418.512,-0.12645914,-2.2690367E-11
16077.122,-1422.5983,-0.12645914,-2.273611E-11
16109.452,-1426.6866,-0.12645914,-2.2781898E-11
16141.716,-1430.7666,-0.12645914,-2.282771E-11
16174.0,-1434.8491,-0.12645914,-2.2873429E-11
16206.318,-1438.9362,-0.12645914,-2.2919177E-11
16238.664,-1443.0265,-0.12645914,-2.2964974E-11
16270.983,-1447.1135,-0.12645914,-2.3010809E-11
16303.278,-1451.1975,-0.12645914,-2.3056605E-11
16335.6455,-1455.2906,-0.12645914,-2.3102369E-11
16368.045,-1459.3878,-0.12645914,-2.3148235E-11
16400.434,-1463.4836,-0.12645914,-2.3194146E-11
16432.78,-1467.574,-0.12645914,-2.3240042E-11
16465.111,-1471.6627,-0.12645914,-2.3285877E-11
16497.463,-1475.754,-0.12645914,-2.3331692E-11
16529.8,-1479.8434,-0.12645914,-2.3377536E-11
16562.139,-1483.9327,-0.12645914,-2.342336E-11
16594.498,-1488.0249,-0.12645914,-2.3469185E-11
16626.846,-1492.1156,-0.12645914,-2.3515039E-11
16659.145,-1496.2002,-0.12645914,-2.3560877E-11
16691.441,-1500.2844,-0.12645914,-2.3606644E-11
16723.78,-1504.3739,-0.12645914,-2.3652412E-11
16756.133,-1508.4655,-0.12645914,-2.3698234E-11
16788.514,-1512.5603,-0.12645914,-2.3744081E-11
16820.83,-1516.647,-0.12645914,-2.3789967E-11
16853.14,-1520.7328,-0.12645914,-2.383576E-11
16885.473,-1524.8215,-0.12645914,-2.3881544E-11
16917.756,-1528.904,-0.12645914,-2.392736E-11
16950.023,-1532.9846,-0.12645914,-2.3973108E-11
16982.324,-1537.0692,-0.12645914,-2.4018832E-11
17014.604,-1541.1514,-0.12645914,-2.4064603E-11
17046.965,-1545.2439,-0.12645914,-2.4110344E-11
17079.39,-1549.3445,-0.12645914,-2.4156201E-11
17111.764,-1553.4384,-0.12645914,-2.420215E-11
17144.152,-1557.5342,-0.12645914,-2.4248024E-11
17176.557,-1561.632,-0.12645914,-2.429392E-11
17208.953,-1565.7289,-0.12645914,-2.4339837E-11
17241.41,-1569.8333,-0.12645914,-2.4385745E-11
17273.889,-1573.9404,-0.12645914,-2.4431738E-11
17306.389,-1578.0504,-0.12645914,-2.4477762E-11
17338.84,-1582.1542,-0.12645914,-2.4523815E-11
17371.318,-1586.2614,-0.12645914,-2.45698E-11
17403.809,-1590.3701,-0.12645914,-2.4615823E-11
17436.322,-1594.4817,-0.12645914,-2.4661863E-11
17468.887,-1598.5999,-0.12645914,-2.4707935E-11
17501.404,-1602.712,-0.12645914,-2.475408E-11
17533.883,-1606.8193,-0.12645914,-2.480016E-11
17566.385,-1610.9296,-0.12645914,-2.4846182E-11
17598.926,-1615.0447,-0.12645914,-2.489224E-11
17631.49,-1619.1627,-0.12645914,-2.4938352E-11
