Time,xPosition,xVelocity,xAcceleration
18477.555,-432.88004,-6.722095E-8,-3.6379788E-12
18510.096,-432.88004,-6.7339336E-8,-3.6379788E-12
18542.652,-432.88004,-6.7457776E-8,-3.6379788E-12
18575.219,-432.88004,-6.757625E-8,-3.6379788E-12
18607.793,-432.88004,-6.769476E-8,-3.6379788E-12
18640.428,-432.88004,-6.781348E-8,-3.6379788E-12
18673.04,-432.88004,-6.793212E-8,-3.6379788E-12
18705.715,-432.88004,-6.8050994E-8,-3.6379788E-12
18738.39,-432.88004,-6.816987E-8,-3.6379788E-12
18771.045,-432.88004,-6.8288664E-8,-3.6379788E-12
18803.68,-432.88004,-6.840739E-8,-3.6379788E-12
18836.316,-432.88004,-6.852612E-8,-3.6379788E-12
18868.959,-432.88004,-6.864487E-8,-3.6379788E-12
18901.594,-432.88004,-6.87636E-8,-3.6379788E-12
18934.176,-432.88004,-6.888213E-8,-3.6379788E-12
18966.672,-432.88004,-6.900035E-8,-3.6379788E-12
18999.152,-432.88004,-6.9118514E-8,-3.6379788E-12
19031.682,-432.88004,-6.9236854E-8,-3.6379788E-12
19064.129,-432.88004,-6.93549E-8,-3.6379788E-12
19096.611,-432.88004,-6.947307E-8,-3.6379788E-12
19129.072,-432.88004,-6.959116E-8,-3.6379788E-12
19161.543,-432.88004,-6.970929E-8,-3.6379788E-12
19194.057,-432.88004,-6.982757E-8,-3.6379788E-12
19226.555,-432.88004,-6.99458E-8,-3.6379788E-12
19258.986,-432.88004,-7.0063784E-8,-3.6379788E-12
19291.4,-432.88004,-7.0181706E-8,-3.6379788E-12
19323.807,-432.88004,-7.02996E-8,-3.6379788E-12
19356.207,-432.88004,-7.041747E-8,-3.6379788E-12
19388.572,-432.88004,-7.0535215E-8,-3.6379788E-12
19420.984,-432.88004,-7.065313E-8,-3.6379788E-12
19453.406,-432.88004,-7.077108E-8,-3.6379788E-12
19485.78,-432.88004,-7.088885E-8,-3.6379788E-12
19518.168,-432.88004,-7.100668E-8,-3.6379788E-12
19550.523,-432.88004,-7.112439E-8,-3.6379788E-12
19582.908,-432.88004,-7.1242205E-8,-3.6379788E-12
19615.31,-432.88004,-7.1360084E-8,-3.6379788E-12
19647.736,-432.88004,-7.147805E-8,-3.6379788E-12
19680.182,-432.88004,-7.1596084E-8,-3.6379788E-12
19712.678,-432.88004,-7.1714304E-8,-3.6379788E-12
19745.098,-432.88004,-7.183225E-8,-3.6379788E-12
19777.488,-432.88004,-7.195008E-8,-3.6379788E-12
19809.82,-432.88004,-7.206771E-8,-3.6379788E-12
19842.195,-432.88004,-7.2185486E-8,-3.6379788E-12
19874.549,-432.88004,-7.230319E-8,-3.6379788E-12
19906.883,-432.88004,-7.242082E-8,-3.6379788E-12
19939.215,-432.88004,-7.253844E-8,-3.6379788E-12
19971.496,-432.88004,-7.265588E-8,-3.6379788E-12
20003.793,-432.88004,-7.2773375E-8,-3.6379788E-12
20036.021,-432.88004,-7.289062E-8,-3.6379788E-12
20068.28,-432.88004,-7.3007975E-8,-3.6379788E-12
20100.52,-432.88004,-7.3125264E-8,-3.6379788E-12
20132.81,-432.88004,-7.324274E-8,-3.6379788E-12
20165.041,-432.88004,-7.335999E-8,-3.6379788E-12
20197.262,-432.88004,-7.347721E-8,-3.6379788E-12
20229.512,-432.88004,-7.3594535E-8,-3.6379788E-12
20261.719,-432.88004,-7.37117E-8,-3.6379788E-12
20293.914,-432.88004,-7.382883E-8,-3.6379788E-12
20326.166,-432.88004,-7.394616E-8,-3.6379788E-12
20358.418,-432.88004,-7.406349E-8,-3.6379788E-12
20390.627,-432.88004,-7.418067E-8,-3.6379788E-12
20422.861,-432.88004,-7.429794E-8,-3.6379788E-12
20455.066,-432.88004,-7.44151E-8,-3.6379788E-12
20487.334,-432.88004,-7.453249E-8,-3.6379788E-12
20519.627,-432.88004,-7.464997E-8,-3.6379788E-12
20551.932,-432.88004,-7.476749E-8,-3.6379788E-12
20584.178,-432.88004,-7.48848E-8,-3.6379788E-12
20616.451,-432.88004,-7.500221E-8,-3.6379788E-12
20648.738,-432.88004,-7.511967E-8,-3.6379788E-12
20681.049,-432.88004,-7.523722E-8,-3.6379788E-12
20713.348,-432.88004,-7.535472E-8,-3.6379788E-12
20745.652,-432.88004,-7.5472244E-8,-3.6379788E-12
20777.975,-432.88004,-7.558983E-8,-3.6379788E-12
20810.367,-432.88004,-7.5707675E-8,-3.6379788E-12
20842.828,-432.88004,-7.582577E-8,-3.6379788E-12
20875.303,-432.88004,-7.594391E-8,-3.6379788E-12
20907.79,-432.88004,-7.606209E-8,-3.6379788E-12
20940.26,-432.88004,-7.618022E-8,-3.6379788E-12
20972.705,-432.88004,-7.629826E-8,-3.6379788E-12
21005.15,-432.88004,-7.641629E-8,-3.6379788E-12
21037.578,-432.88004,-7.653426E-8,-3.6379788E-12
21069.922,-432.88004,-7.665193E-8,-3.6379788E-12
21102.252,-432.88004,-7.6769545E-8,-3.6379788E-12
21134.633,-432.88004,-7.6887346E-8,-3.6379788E-12
21166.979,-432.88004,-7.700502E-8,-3.6379788E-12
21199.37,-432.88004,-7.7122856E-8,-3.6379788E-12
21231.76,-432.88004,-7.724069E-8,-3.6379788E-12
21264.145,-432.88004,-7.735851E-8,-3.6379788E-12
21296.527,-432.88004,-7.7476315E-8,-3.6379788E-12
21328.805,-432.88004,-7.759374E-8,-3.6379788E-12
21361.098,-432.88004,-7.771122E-8,-3.6379788E-12
21393.467,-432.88004,-7.782898E-8,-3.6379788E-12
21425.871,-432.88004,-7.7946865E-8,-3.6379788E-12
21458.28,-432.88004,-7.8064765E-8,-3.6379788E-12
21490.738,-432.88004,-7.818285E-8,-3.6379788E-12
21523.234,-432.88004,-7.830107E-8,-3.6379788E-12
21555.758,-432.88004,-7.841939E-8,-3.6379788E-12
21588.258,-432.88004,-7.8537624E-8,-3.6379788E-12
21620.771,-432.88004,-7.865591E-8,-3.6379788E-12
21653.291,-432.88004,-7.8774214E-8,-3.6379788E-12
21685.791,-432.88004,-7.889245E-8,-3.6379788E-12
21718.305,-432.88004,-7.901073E-8,-3.6379788E-12
21750.85,-432.88004,-7.912913E-8,-3.6379788E-12
21783.393,-432.88004,-7.924752E-8,-3.6379788E-12
